ex rate ,gdp,tb,cpi
41.063,1732814.628,-75340.65546,62.62626263
43.154,1734138.123,-55833.34123,63.04137263
46.283,1759796.175,-85414.20365,63.81624464
49.998,1763005.801,-115662.5309,65.08924865
49.378,1773568.939,-91490.02058,66.27923066
52.366,1789700.267,-145393.9858,66.61131867
51.355,1818360.193,-161115.1839,67.52456068
51.404,1820570.383,-156958.4049,67.91199668
51.148,1836290.874,-135665.7877,68.35478068
50.418,1850656.911,-143582.1919,68.65919469
52.447,1869494.182,-177836.1851,69.24034869
53.096,1904800.497,-179204.5574,69.37871869
53.532,1915767.856,-146841.205,69.7938287
53.706,1929681.844,-143528.4607,70.2919607
54.942,1980613.344,-132611.8858,70.76241871
55.569,2018612.638,-159428.5473,71.03915871
56.357,2053623.998,-113938.4533,71.84170472
56.181,2066707.366,-166128.9186,72.83796873
56.336,2106529.833,-138532.6257,74.88584475
56.267,2131517.167,-129436.8163,75.82676076
54.793,2162682.941,-60973.57633,77.04441677
55.919,2172663.85,-127149.6438,77.98533278
56.055,2208298.375,-93105.25877,79.39670679
53.067,2225691.865,-97029.90437,80.4483188
51.284,2271292.178,-47284.66419,81.91504082
53.587,2292981.196,-34391.88195,82.71758683
50.387,2315186.312,-28719.90553,83.52013284
49.132,2355785.657,-37220.69253,83.93524284
48.262,2420932.389,3893.823944,84.46104884
46.329,2436372.709,-30416.98855,84.90383285
45.063,2465594.677,-16308.06603,85.87242286
41.401,2509332.442,-17631.66587,86.61962087
41.868,2520608.709,-59623.48272,88.86121489
44.756,2557668.336,-53063.33135,91.96070292
45.685,2599761.031,-76903.55225,94.70042895
47.485,2592302.098,-130468.9943,94.31299294
48.419,2545744.66,-12503.79016,95.06019095
48.308,2600470.342,-133248.4387,95.97343296
47.393,2630891.231,-71699.56644,96.66528297
46.356,2644007.093,-149514.0166,97.71689498
45.632,2744557.571,-40585.5509,98.76850699
46.31,2795160.605,-158360.8828,99.654075
43.896,2808764.475,-93816.8723,100.401273
43.885,2824427.131,-183820.3127,101.176145
43.432,2862828.814,-111836.3619,103.224021
43.494,2897495.817,-104957.0545,104.580047
43.636,2898424.829,-112513.756,105.1612011
43.928,2943948.617,-144515.3431,105.9083991
43,3031120.456,-94721.68115,106.4949981
42.283,3071247.509,-151235.8546,107.501703
41.88,3120820.027,-132498.9441,108.6522229
41.192,3189357.461,-166151.4689,108.9038991
40.938,3261758.521,-148341.5791,109.5151128
43.307,3295270.165,-126262.3612,110.0184652
43.309,3333307.441,-235172.486,110.9892164
44.414,3358568.957,-217914.9457,112.17569
44.996,3454417.984,-174870.1172,113.5059787
43.78,3516409.7,-144945.6988,114.2250536
44.966,3536151.586,-213050.1972,115.5193885
44.617,3579702.53,-213430.0663,115.3755735
44.796,3653745.787,-241502.8304,115.2317585
45.2,3733871.962,-178359.2818,115.3396198
46.926,3754490.184,-290618.1259,115.447481
47.166,3827537.445,-325153.0972,115.6991572
46.108,3919262.694,-370647.1117,115.9148797
46.96,4005109.089,-338930.0435,116.4541859
48.257,4038364.337,-401476.971,117.1013534
49.813,4085956.525,-481950.3113,118.0361508
50.194,4180765.926,-425046.2623,119.2585782
50.466,4294724.121,-340650.7476,119.7619306
51.073,4348601.913,-418063.6124,120.2293293
49.923,4350724.516,-550082.8019,121.5955717
52.207,4460711.079,-460468.1849,123.8715696
53.522,4570690.949,-493030.5802,125.4331533
54.251,4609482.263,-598088.3505,128.0498611
52.724,4613249.218,-578419.7099,129.0205753
52.782,4727658.52,-572511.9159,128.6407306
51.358,4843135.013,-452512.9695,129.2738051
52.042,4896897.638,-566521.162,129.7802646
50.744,4888544.538,-559677.297,130.7931838
51.044,4695089.757,-493097.7795,131.8905128
49.851,4054648.624,-270051.7509,131.679488
48.465,4337558.101,-333853.4806,132.7768171
48.036,4463814.354,-414158.2096,134.5494256
48.466,4510053.847,-430863.1088,137.2083383
48.544,4548505.075,-389393.765,136.9551085
50.959,4649534.391,-442575.2762,138.2212574
50.774,4810791.591,-497098.9405,139.3607915
51.96,4858617.95,-570195.0938,141.8086794
55.021,4906695.04,-569673.4023,144.4253872
58.91,5019548.384,-652563.4896,147.2531198
56.12,5144673.87,-404617.2052,150.3762871
54.429,5168004.997,-663334.1873,153.5838644
55.362,5131516.855,-562791.5423,153.1618147
56.961,5302542.477,-584262.08,155.145448
55.567,,0,156.8758516
56.281,,0,158.6484601
